cod_depto,professor
170,CINTIA DA SILVA PACHECO
170,SHEILA GIARDINI MURTA
170,PAULO ROBERTO MENEZES LIMA JUNIOR
170,GUSTAVO MACEDO DE MELLO BAPTISTA
170,SUZANA MOREIRA AVILA
170,PATRICIA TUXI DOS SANTOS
158,JULIANA EUGENIA CAIXETA
351,PABLO GONCALO PIRES DE CAMPOS MARTINS
351,ISABELA LARA OLIVEIRA
351,MAURO GIUNTINI VIANA
351,RAQUEL PACHECO MELLO CUNHA
351,EDMUNDO BRANDAO DANTAS
351,RAQUEL PACHECO MELLO CUNHA
351,EDMUNDO BRANDAO DANTAS
351,SUELEN BRANDES MARQUES VALENTE
351,JOAO BATISTA LANARI BO
351,EDUARDO BENTES MONTEIRO
351,EDUARDO BENTES MONTEIRO
351,MARIANA FERREIRA LOPES
351,SERGIO RIBEIRO DE AGUIAR SANTOS
351,ARMANDO BULCAO
351,CARLOS HENRIQUE NOVIS
351,NORLAN SOUZA DA SILVA
351,ARMANDO BULCAO
351,CARLOS HENRIQUE NOVIS
351,RAQUEL PACHECO MELLO CUNHA
351,BEATRIZ BERALDO BATISTA
351,BEATRIZ BERALDO BATISTA
351,ISABELA LARA OLIVEIRA
351,LUCIANO MENDES DE SOUZA
351,RAFAEL DIETZSCH
351,PRISCILA MONTEIRO BORGES
351,JOAO BATISTA LANARI BO
351,PABLO GONCALO PIRES DE CAMPOS MARTINS
351,DENISE MORAES CAVALCANTE
351,MAURO GIUNTINI VIANA
351,SERGIO RIBEIRO DE AGUIAR SANTOS
351,MAURICIO GOMES DA SILVA FONTELES
351,MAURICIO GOMES DA SILVA FONTELES
351,DENISE MORAES CAVALCANTE
351,SERGIO RIBEIRO DE AGUIAR SANTOS
351,SERGIO RIBEIRO DE AGUIAR SANTOS
351,MARCELO FEIJO ROCHA LIMA
351,MARIA FERNANDA DANGELO VALENTIM
351,EDMUNDO BRANDAO DANTAS
351,SUELEN BRANDES MARQUES VALENTE
351,RAFAEL DIETZSCH
351,BEATRIZ BERALDO BATISTA
351,LUCIANO MENDES DE SOUZA
351,CARINA LUISA OCHI FLEXOR
351,CARINA LUISA OCHI FLEXOR
351,PRISCILA MONTEIRO BORGES
351,NORLAN SOUZA DA SILVA
351,MARIANA SOUTO DE MELO SILVA
351,RAQUEL PACHECO MELLO CUNHA
351,PABLO GONCALO PIRES DE CAMPOS MARTINS
351,RAFAEL DIETZSCH
351,PRISCILA MONTEIRO BORGES
351,EDUARDO LUSTOSA BELGA
351,MARIANA SOUTO DE MELO SILVA
351,MAURO GIUNTINI VIANA
351,ÍTALO CAJUEIRO DE OLIVEIRA
351,MARIANA SOUTO DE MELO SILVA
351,MAURICIO GOMES DA SILVA FONTELES
351,EDUARDO BENTES MONTEIRO
351,RAFAEL DIETZSCH
351,RAFIZA LUZIANI VARAO RIBEIRO CARVALHO
351,LILIANE MARIA MACEDO MACHADO
351,ARMANDO BULCAO
351,BEATRIZ BERALDO BATISTA
351,MAURICIO GOMES DA SILVA FONTELES
351,DENISE MORAES CAVALCANTE
351,MAURICIO GOMES DA SILVA FONTELES
345,CRISTIANE PARENTE DE SA BARRETO
345,DIONE OLIVEIRA MOURA
345,LUIZA SPINOLA AMARAL
345,MARIANA FERREIRA LOPES
345,MILENA DOS SANTOS MARRA
345,DIONE OLIVEIRA MOURA
345,GISELE PIMENTA DE OLIVEIRA
345,FABIOLA ORLANDO CALAZANS MACHADO
345,DELCIA MARIA DE MATTOS VIDAL
345,GUILHERME LOBAO DE QUEIROZ
345,TIAGO QUIROGA FAUSTO NETO
345,ELEN CRISTINA GERALDES
345,GABRIELA PEREIRA DE FREITAS
345,DELCIA MARIA DE MATTOS VIDAL
345,TIAGO QUIROGA FAUSTO NETO
345,LUIZA SPINOLA AMARAL
345,CARLOS HENRIQUE NOVIS
345,JOAO JOSE AZEVEDO CURVELLO
345,LUISA GUIMARAES LIMA
345,LUISA GUIMARAES LIMA
345,GABRIELA PEREIRA DE FREITAS
345,JOAO JOSE AZEVEDO CURVELLO
345,ELEN CRISTINA GERALDES
345,LUISA GUIMARAES LIMA
345,LUISA GUIMARAES LIMA
345,LUIZA SPINOLA AMARAL
345,LUIZA SPINOLA AMARAL
345,KATIA MARIA BELISARIO
345,ABRA T AFRAA LIONCO
345,GUILHERME LOBAO DE QUEIROZ
345,SIVALDO PEREIRA DA SILVA
345,GISELE PIMENTA DE OLIVEIRA
345,DELCIA MARIA DE MATTOS VIDAL
345,GISELE PIMENTA DE OLIVEIRA
345,MARIA AMELIA PAIVA ABRAO
345,FERNANDA CASAGRANDE MARTINELLI LIMA GRANJA XAVIER DA SILVA
345,MARIA AMELIA PAIVA ABRAO
345,MARIA AMELIA PAIVA ABRAO
345,ABRA T AFRAA LIONCO
345,FABIOLA ORLANDO CALAZANS MACHADO
345,FERNANDA CASAGRANDE MARTINELLI LIMA GRANJA XAVIER DA SILVA
345,KATIA MARIA BELISARIO
345,SIVALDO PEREIRA DA SILVA
345,GABRIELA PEREIRA DE FREITAS
660,FATIMA APARECIDA DOS SANTOS
660,ANDRE CAMARGO THOME MAYA MONTEIRO
660,GABRIEL LYRA CHAVES
660,DANIEL FERNANDES BATISTA DE OLIVEIRA
660,FELIX ALVES DA SILVA JUNIOR
660,RENATA CRISTINA QUEIROZ RINALDI
660,SYMONE RODRIGUES JARDIM
660,ANDRE CAMARGO THOME MAYA MONTEIRO
660,ANDRE CAMARGO THOME MAYA MONTEIRO
660,ANDRE CAMARGO THOME MAYA MONTEIRO
660,DANIELA FAVARO GARROSSINI
660,GABRIEL LYRA CHAVES
660,SYMONE RODRIGUES JARDIM
660,TIAGO BARROS PONTES E SILVA
660,MIGUEL EDUARDO GUTIERREZ PAREDES
660,RAPHAEL MOURA CARDOSO
660,NAYARA MORENO DE SIQUEIRA
660,ROGERIO JOSE CAMARA
660,ANA CLAUDIA MAYNARDES
660,ANA MANSUR DE OLIVEIRA
660,FATIMA APARECIDA DOS SANTOS
660,GEORGIA MARIA DE CASTRO SANTOS
660,MIGUEL EDUARDO GUTIERREZ PAREDES
660,MARISA COBBE MAASS
660,VIRGINIA TIRADENTES SOUTO
660,RAFAEL DIETZSCH
660,DANIELA PEREIRA BARBOSA
660,GEORGIA MARIA DE CASTRO SANTOS
660,VIRGINIA TIRADENTES SOUTO
660,ANA MANSUR DE OLIVEIRA
660,MARISA COBBE MAASS
660,TIAGO BARROS PONTES E SILVA
660,DANIELA FAVARO GARROSSINI
660,NAYARA MORENO DE SIQUEIRA
660,GABRIEL LYRA CHAVES
660,ANA CLAUDIA MAYNARDES
660,ANA MANSUR DE OLIVEIRA
660,GEORGIA MARIA DE CASTRO SANTOS
660,ROGERIO JOSE CAMARA
660,NAYARA MORENO DE SIQUEIRA
660,MIGUEL EDUARDO GUTIERREZ PAREDES
660,MIGUEL EDUARDO GUTIERREZ PAREDES
660,ANA CLAUDIA MAYNARDES
660,ANDRE CAMARGO THOME MAYA MONTEIRO
660,ROGERIO JOSE CAMARA
660,ANDRE CAMARGO THOME MAYA MONTEIRO
660,SYMONE RODRIGUES JARDIM
660,VIRGINIA TIRADENTES SOUTO
660,DANIELA FAVARO GARROSSINI
660,ANDREA SAMPAIO TIBERY
660,FELIX ALVES DA SILVA JUNIOR
660,RENATA CRISTINA QUEIROZ RINALDI
660,DANIEL FERNANDES BATISTA DE OLIVEIRA
660,GABRIEL LYRA CHAVES
660,DANIELA PEREIRA BARBOSA
660,ANA CECILIA LAURINDO SCHETTINO
660,ROGERIO JOSE CAMARA
660,LUCAS HENRIQUES NEGRELLI
660,DANIEL FERNANDES BATISTA DE OLIVEIRA
660,GABRIEL LYRA CHAVES
660,TIAGO BARROS PONTES E SILVA
660,ROGERIO JOSE CAMARA
660,ANA MANSUR DE OLIVEIRA
660,ANA CLAUDIA MAYNARDES
660,ANDRE CAMARGO THOME MAYA MONTEIRO
660,DANIELA FAVARO GARROSSINI
660,FATIMA APARECIDA DOS SANTOS
660,GEORGIA MARIA DE CASTRO SANTOS
660,MIGUEL EDUARDO GUTIERREZ PAREDES
660,MARISA COBBE MAASS
660,NAYARA MORENO DE SIQUEIRA
660,SYMONE RODRIGUES JARDIM
660,VIRGINIA TIRADENTES SOUTO
660,NAYARA MORENO DE SIQUEIRA
660,TIAGO BARROS PONTES E SILVA
660,ANA CLAUDIA MAYNARDES
660,ANA MANSUR DE OLIVEIRA
660,ANDRE CAMARGO THOME MAYA MONTEIRO
660,DANIELA FAVARO GARROSSINI
660,FATIMA APARECIDA DOS SANTOS
660,GABRIEL LYRA CHAVES
660,GEORGIA MARIA DE CASTRO SANTOS
660,MIGUEL EDUARDO GUTIERREZ PAREDES
660,MARISA COBBE MAASS
660,ROGERIO JOSE CAMARA
660,SYMONE RODRIGUES JARDIM
660,VIRGINIA TIRADENTES SOUTO
660,MARISA COBBE MAASS
449,CARLOS HUMBERTO LLANOS QUINTERO
449,ALINE SOUZA DE PAULA
449,FRANCISCO RICARDO DA CUNHA
449,EDGAR NOBUO MAMIYA
449,EDGAR AMARAL SILVEIRA
449,JORGE LUIZ DE ALMEIDA FERREIRA
449,ALBERTO JOSE ALVARES
449,RAFAEL GABLER GONTIJO
449,JONES YUDI MORI ALVES DA SILVA
449,JONES YUDI MORI ALVES DA SILVA
449,ARMANDO DE AZEVEDO CALDEIRA PIRES
449,MARIO BENJAMIM BAPTISTA DE SIQUEIRA
449,JULIANA PETROCCHI RODRIGUES
449,SIMONE MONTEIRO E SILVA
449,CARLOS ALBERTO GURGEL VERAS
449,CARLOS ALBERTO GURGEL VERAS
449,FABIO ALFAIA DA CUNHA
449,EDGAR AMARAL SILVEIRA
449,ANTONIO CESAR PINHO BRASIL JUNIOR
449,EDGAR AMARAL SILVEIRA
449,TAYGOARA FELAMINGO DE OLIVEIRA
449,JOAO MANOEL DIAS PIMENTA
449,JOAO MANOEL DIAS PIMENTA
449,SIMONE MONTEIRO E SILVA
449,JHON NERO VAZ GOULART
449,FELIPE CHAGAS STORTI
449,JHON NERO VAZ GOULART
449,FELIPE CHAGAS STORTI
449,JHON NERO VAZ GOULART
449,FELIPE CHAGAS STORTI
449,FELIPE CHAGAS STORTI
449,JHON NERO VAZ GOULART
449,BRAULIO GUTIERREZ PIMENTA
449,FRANCISCO RICARDO DA CUNHA
449,ANDRE VON BORRIES LOPES
449,FRANCISCO RICARDO DA CUNHA
449,ANDRE VON BORRIES LOPES
449,ROBERTO FRANCISCO BOBENRIETH MISERDA
449,AIDA ALVES FADEL
449,AIDA ALVES FADEL
449,AIDA ALVES FADEL
449,THIAGO DE CARVALHO RODRIGUES DOCA
449,EUGENIO LIBORIO FEITOSA FORTALEZA
449,ANDRE VON BORRIES LOPES
449,COSME ROBERTO MOREIRA DA SILVA
449,COSME ROBERTO MOREIRA DA SILVA
449,COSME ROBERTO MOREIRA DA SILVA
449,ALYSSON MARTINS ALMEIDA SILVA
449,ALYSSON MARTINS ALMEIDA SILVA
449,ALYSSON MARTINS ALMEIDA SILVA
449,GUILHERME CARIBE DE CARVALHO
449,GUILHERME CARIBE DE CARVALHO
449,ALINE SOUZA DE PAULA
449,ADRIANO TODOROVIC FABRO
449,ALINE SOUZA DE PAULA
449,ADRIANO TODOROVIC FABRO
449,ALBERTO CARLOS GUIMARAES CASTRO DINIZ
449,LUIS AUGUSTO CONTE MENDES VELOSO
449,LUIS AUGUSTO CONTE MENDES VELOSO
449,EDGAR NOBUO MAMIYA
449,EDGAR NOBUO MAMIYA
449,FABIO COMES DE CASTRO
449,JOSE MAURICIO SANTOS TORRES DA MOTTA
449,MARIO OLAVO MAGNO DE CARVALHO
449,ANTONIO MANOEL DIAS HENRIQUES
449,DIANNE MAGALHAES VIANA
449,ANTONIO MANOEL DIAS HENRIQUES
449,PALLOMA VIEIRA MUTERLLE
449,PALLOMA VIEIRA MUTERLLE
449,DANIEL MONTEIRO ROSA
449,DANIEL MONTEIRO ROSA
449,PALLOMA VIEIRA MUTERLLE
449,PALLOMA VIEIRA MUTERLLE
449,DEBORAH DE OLIVEIRA
449,DEBORAH DE OLIVEIRA
449,ADRIANO POSSEBON ROSA
449,ADRIANO POSSEBON ROSA
449,DEBORAH DE OLIVEIRA
449,LUIS AUGUSTO CONTE MENDES VELOSO
449,ANDRE VON BORRIES LOPES
449,MARIO BENJAMIM BAPTISTA DE SIQUEIRA
449,ALINE SOUZA DE PAULA
449,TAYGOARA FELAMINGO DE OLIVEIRA
449,EDGAR AMARAL SILVEIRA
449,JOSE ALEXANDER ARAUJO
449,JOAO MANOEL DIAS PIMENTA
449,ANTONIO CESAR PINHO BRASIL JUNIOR
449,ROBERTO FRANCISCO BOBENRIETH MISERDA
449,BRAULIO GUTIERREZ PIMENTA
449,JORGE LUIZ DE ALMEIDA FERREIRA
449,ALBERTO CARLOS GUIMARAES CASTRO DINIZ
449,MAKSYM ZIBEROV
449,ADRIANO TODOROVIC FABRO
449,MARIO BENJAMIM BAPTISTA DE SIQUEIRA
449,JOSE ALEXANDER ARAUJO
449,ARMANDO DE AZEVEDO CALDEIRA PIRES
449,DEBORAH DE OLIVEIRA
449,MAKSYM ZIBEROV
449,LUCIVAL MALCHER
449,ALBERTO CARLOS GUIMARAES CASTRO DINIZ
449,ANDRE VON BORRIES LOPES
449,ALYSSON MARTINS ALMEIDA SILVA
449,ADRIANO TODOROVIC FABRO
449,BRAULIO GUTIERREZ PIMENTA
449,MARCUS VINICIUS GIRAO DE MORAIS
449,AIDA ALVES FADEL
449,RAFAEL GABLER GONTIJO
449,JORGE LUIZ DE ALMEIDA FERREIRA
449,ANTONIO CESAR PINHO BRASIL JUNIOR
449,JOSE LEONARDO FERREIRA
449,CARLOS HUMBERTO LLANOS QUINTERO
449,DIANNE MAGALHAES VIANA
449,EDGAR AMARAL SILVEIRA
449,GUILHERME CARIBE DE CARVALHO
449,JOAO MANOEL DIAS PIMENTA
449,LUIS AUGUSTO CONTE MENDES VELOSO
449,MARCELA RODRIGUES MACHADO
449,THIAGO DE CARVALHO RODRIGUES DOCA
449,MARCUS VINICIUS GIRAO DE MORAIS
449,ALBERTO CARLOS GUIMARAES CASTRO DINIZ
449,ALBERTO CARLOS GUIMARAES CASTRO DINIZ
449,EUGENIO LIBORIO FEITOSA FORTALEZA
449,JOSE LUIZ ALVES DA FONTOURA RODRIGUES
449,RAFAEL GABLER GONTIJO
449,MAKSYM ZIBEROV
449,JOAO MANOEL DIAS PIMENTA
449,ANTONIO PIRATELLI FILHO
449,ANTONIO PIRATELLI FILHO
449,DEBORAH DE OLIVEIRA
449,DEBORAH DE OLIVEIRA
449,DANIEL MONTEIRO ROSA
449,BRAULIO GUTIERREZ PIMENTA
449,JOSE LUIZ ALVES DA FONTOURA RODRIGUES
449,ADRIANO POSSEBON ROSA
449,EDER LIMA DE ALBUQUERQUE
449,JOSE ALEXANDER ARAUJO
449,JORGE LUIZ DE ALMEIDA FERREIRA
449,WALTER DE BRITTO VIDAL FILHO
449,WALTER GENNARI JUNIOR
449,WALTER GENNARI JUNIOR
449,EDSON PAULO DA SILVA
449,AIDA ALVES FADEL
449,MARIO OLAVO MAGNO DE CARVALHO
449,ARMANDO DE AZEVEDO CALDEIRA PIRES
449,DIANNE MAGALHAES VIANA
449,ADRIANO TODOROVIC FABRO
449,MAKSYM ZIBEROV
449,WALTER DE BRITTO VIDAL FILHO
449,ALBERTO JOSE ALVARES
449,CARLOS HUMBERTO LLANOS QUINTERO
449,GUILHERME CARIBE DE CARVALHO
449,MARIO BENJAMIM BAPTISTA DE SIQUEIRA
